title,link,description
An Adjustable Mitral Ring for Asymmetric and Continuous Off-Bypass Annulus Reduction,https://techfinder.stanford.edu/technology/adjustable-mitral-ring-asymmetric-and-continuous-bypass-annulus-reduction,"Researchers at Stanford University have created a novel mitral valve annuloplasty ring that can be adjusted in size off-bypass in response to regurgitation. Mitral annuloplasty ring implantation is one of the most common mitral valve surgeries to reduce mitral regurgitation by establishing proper leaflet coaptation. Mitral ring sizing is a difficult process whereby a surgeon decides how much to reduce the size of the annulus while the heart is arrested. Methods currently do not exist to adjust the ring size once the heart has been restarted, and small sizing errors often result in persistent regurgitation, which requires the surgeon to re-arrest the heart and re-perform the annuloplasty procedure. To avoid exposing patients to this additional risk, Stanford researchers have developed an annuloplasty ring with a mechanism to adjust its size after the heart has been closed and re-animated. They used custom folding and semiflexible material technologies to enable asymmetric annulus constriction via sutures routed through the ring. The suture-based tightening mechanism exits the left atrium and allows for post-implantation adjustments based on real-time heart function. This invention enables surgeons to address minor sizing errors without extensive reoperation. Figure Applications include Mitral valve annuloplasty. Advantages of the device are Off-bypass adjustability, Reduced surgery time, Improved surgical outcome."
Anatomically conforming device for tricuspid valve annuloplasty,https://techfinder.stanford.edu/technology/anatomically-conforming-device-tricuspid-valve-annuloplasty,"Stanford researchers have designed a novel tricuspid annuloplasty ring that minimizes the risk of interrupting cardiac conduction during implantation. Tricuspid regurgitation is a prevalent heart condition in which the tricuspid valve fails to close completely during ventricular contraction. The disrupted unidirectional blood flow could lead to abnormal pressure or volume overload. Patients with moderate to severe cases may require annuloplasty, where a ring device is implanted over the annulus around the tricuspid valve to support valve leaflets. While securing the device, sutures often inadvertently cross the bundle of His in the septum, disrupting heart conduction. To avoid this complication, there is a critical need for alternate annuloplasty devices. Researchers in the Woo Lab at Stanford have created a modular annuloplasty device that avoids suture placement in conduction tissue. Its most basic form is a C-shaped band with a wide gap between the two ends to avoid traversing over the septal leaflet. The device can be further secured by adding a flexible polymer that joins the ends of the device. Alternatively, the ends can be conjoined with a bridge-like structure that bends away from the valve. The bridge is angled to conform to the septal wall and aorta, improving retention. Figure Applications include Tricuspid valve annuloplasty. Advantages of the device are No suture placement in conduction tissue, Reduced need for pacemakers, Improved retention strength, Reduced recurrent regurgitation."
Diode-pumped photonic integrated titanium-sapphire waveguide amplifier,https://techfinder.stanford.edu/technology/diode-pumped-photonic-integrated-titanium-sapphire-waveguide-amplifier,"Stanford researchers have developed ultra-wideband amplification of near infrared signals for the first time on a photonic integrated circuit.  Previously, optical amplification on photonic integrated circuits has been limited to wavelengths longer than 1000 nm, which has restricted use in biological applications.  Furthermore, tabletop titanium-sapphire are large, cost, and require high optical pump powers.  The Stanford developed diode-pumped photonic integrated titanium-sapphire waveguide amplifier incorporates the critical near-infrared window for biological tissue, which is pivotal for medical imaging and diagnostic equipment, as well as provides an on-chip solution for applications such as quantum technology, LiDAR and beyond. The device consists of a nanophotonic crystalline thin-film titanium-sapphire optical waveguide co-integrated with a semiconductor diode-laser used to pump the titanium-sapphire waveguide. The nanophotonic titanium sapphire waveguide amplifies optical signals with wavelength ranging from 700 nm to 1000 nm. The titanium-sapphire waveguides do not absorb when the material is not pumped, and  passive propagation losses are smaller than 0.45 dB/cm. These titanium-sapphire waveguides outperform currently available optical gain waveguides, and meets the needs of a wide range of applications in photonic integrated circuits    Ti:Sapphire waveguide amplifier as stand-a-lone chip optical amplifier (Top) and Ti:Sapphire waveguide amplifier prototype (Bottom) (Image courtesy the Nanoscale and Quantum Photonics Lab) Stage of Development – Proof of Concept Prototype Applications include On chip, high performance, ultra-wideband lasers and amplifiers for:, Quantum computing, simulations, sensing, and networks, Data communications, Positioning, navigation, and timing (PNT) systems, LiDAR, Augmented and virtual reality, Biomedical applications, such as optical coherence tomography (OCT), medical devices, proton therapy, microscopy, spectroscopy, imaging, surgery, etc. . Advantages of the device are Compact, photonic integrated circuit, First time, ultra-wideband amplification of near infrared signals on a photonic integrated circuit, Lower cost than existing table-top systems."
Wafer-Scale Thin-Film Titanium:Sapphire Photonics,https://techfinder.stanford.edu/technology/wafer-scale-thin-film-titaniumsapphire-photonics,"Using their novel fabrication process, Stanford researchers have produced the world's first practical titanium-sapphire laser on a chip, transforming a once-exclusive tabletop technology to the microscale.  With its excellent gain, broadband emission, large bandgap and high power-handling, integrated Titanium-doped Sapphire (Ti:Sapphire) photonics could dramatically change visible and near-IR laser sources.   State of the art manufacturing of integrated Ti:Sapphire technology relies on costly, size limited, highly doped Ti:Sapphire wafers which are limited in size, doping control, and uniformity. Stanford researchers start using a standard, undoped, sapphire substrate, in which a near surface level Titanium source is created via implantation of or deposition. This layer can be patterned via masked implantation, or lithographically deposited. High temperature annealing improves the doping layer quality. The damaged layer is subsequently removed leaving a uniform, clean surface layer of Ti:Sapphire at the top of the sapphire substrate. The surface-doped Ti:Sapphire is then bonded to a substrate, where the doped region lies at the interface. Finally, the undoped sapphire portions of the original material are removed, leaving a wafer-scale thin-film Ti:Sapphire platform.  By leveraging these various deposition, lithography, diffusion and annealing techniques to convert undoped sapphire substrates into surface-doped substrates at wafer scale, Stanford researchers dramatically reduce costs and miniaturize integrated Ti:Sapphire-on-Insulator photonics.   Process flow of Titanium-sapphire-on-insulator (Ti:SaOI) preparation (Image courtesy the Nanoscale and Quantum Photonics Lab) Stage of Development – Proof of Concept Prototype Applications include Wafer scale, on chip, high performance lasers and amplifiers for:, Quantum computing, simulations, sensing, and networks, Data communications, Positioning, navigation, and timing (PNT) systems, Biomedical applications, such as medical devices, proton therapy, microscopy, spectroscopy, imaging, surgery, etc. . Advantages of the device are Low cost, full wafer-scale production, Compact, photonic integrated circuit, Versatile - custom-tailored, lithographically precise doping control, can be patterned for simultaneous Ti:Sapphire and undoped sapphire photonics."
Hypoxia-mediated resistance of Homologous recombination-deficient cancer cells to PARP inhibitors,https://techfinder.stanford.edu/technology/hypoxia-mediated-resistance-homologous-recombination-deficient-cancer-cells-parp,Stanford researcher's invivo studies find that combining PARP inhibitors with a hypoxia activated prodrug delays tumor growth. Applications include Combining PARP inhibitors with Hypoxia-targeting drugs in HR deficient cancer cells. Advantages of the device are Combining PARP inhibitors with Tirapazamine (hypoxia-activated drug) shows significantly higher tumor killing effects when compared to each monotherapy..
Optoelectronic orchestrated microdroplet reactors for solid-phase reactions,https://techfinder.stanford.edu/technology/optoelectronic-orchestrated-microdroplet-reactors-solid-phase-reactions,"Stanford researchers have developed a microfluidic system that uses optoelectronics for microdroplet manipulation to build synthetic oligonucleotides.  Current solutions for building oligonucleotides suffer from high error rates, low yields as the chains get longer, and high solvent use and waste production. The Stanford device (Figure 1) is inexpensively fabricated using standard PDMS soft lithography mass manufacturing technology.  Multiple integrated microfluidic channels  introduce single droplets of consistent size onto the optoelectronic substrate. The optoelectronics precisely encapsulates and decapsulates individual solid supports (i.e., polystyrene microbeads) with corresponding picoliter volume reagent microdroplets. Complete encapsulation ensures uniform reagent exposure, which reduces errors and improves the final yield rate significantly. In addition, picoliter droplet reactors replace microtiter plates, which reduces reagent consumption and waste generation by up to a million-fold.   The Hesselink Group successfully demonstrated the on-chip enzymatic oligonucleotide coupling reaction and are adapting the platform for a wider range of reactions.   This light-orchestrated microdroplet reactor platform provides quicker, more affordable, more efficient, and sustainable oligonucleotide synthesis.   FIgure 1 Schematic light-orchestrated microdroplet reactors for solid-phase reactions Applications include Compact benchtop DNA printer for researchers, Quick, affordable, custom oligonucleotide, peptide, and organic synthesis for biotech and pharmaceuticals, Automated solid-phase assays for disease diagnosis and drug discovery screening, Automated solid-phase extraction (SPE) and solid-phase combinatorial chemistry reactors for pharmaceutical analysis and development, environmental testing, and forensic science. Advantages of the device are Lower error rate and higher yield long strand oligonucleotide and peptide synthesis through uniform reagent exposure, and higher spatial resolution droplet delivery compared to current microarray based solid-phase synthesis platforms, Affordable, more sustainable, million-fold waste reduction through reduced reagent consumption, Expected higher throughput as picoliter sized droplet reaction rates are expected to be faster than existing larger reagent volume platforms."
Compositions and Methods Related to Coronavirus Therapies,https://techfinder.stanford.edu/technology/compositions-and-methods-related-coronavirus-therapies,"Researchers at Stanford have developed fusion proteins, containing ACE2 domain linked to a fragment of non-neutralizing anti-SARS-CoV-2 spike protein antibody, with a greater breadth of protection than previously described similar fusion proteins. Coronaviruses are a large family of viruses that cause illness ranging from the common cold to more severe diseases, including Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). Coronaviruses are zoonotic, meaning they can be transmitted between humans and animals. Viral mutation and zoonotic transfer are anticipated to lead to future pandemics and largescale outbreaks.  Indeed, the COVID-19 respiratory disease likely originated in bats, and led to a pandemic with over 750 million cases and nearly seven million deaths worldwide. To date, there are a limited number of active pharmaceutical agents that are effective at treating COVID-19 or other coronavirus infections in patients. There is therefore an urgent need for therapeutics capable of treating infections arising from known coronaviruses, as well as from new coronaviruses that will arise in the future. For instance, the development of monoclonal antibody (mAb) therapies was a major advance in the treatment of COVID-19. However, known mAb therapies gradually become ineffective with the emergence of new SARS-CoV-2 variants. Stage of Development Research – in vitro Stage of Research The inventors have developed improved fusion proteins containing an antibody domain, that binds a highly conserved epitope of betacoronavirus Spike proteins on the S2 subunit, and an ACE2 domain, which serves at the neutralizing domain. SARS-CoV-2 variants are less likely to escape the binding of fusion proteins than neutralizing mAbs targeting the RBD of SARS-CoV-2 Spike proteins. Applications include Use as a broad and high-potency therapeutic against coronavirus infections., Fusion protein therapies, which are likely to inhibit any betacoronavirus that uses the highly conserved ACE2 as a receptor, making them suitable for stockpiling in anticipation of the next betacoronavirus jumping from animals to humans., Use in high-risk patients with complex medication regimes.. Advantages of the device are Greater breadth of protection than previously described fusion proteins., The use of fusion proteins with enzymatically inactive ACE2 (the virus' own host receptor), which prevents adverse side effects of administering fusion proteins with active ACE2 domain. These adverse effects stem from the functions of ACE2 in regulating blood pressure and vascular tone., More efficacious in vitro activity than known anti-coronavirus mAbs., Broad neutralizing range that includes all tested SARS-CoV-2 variants and SARS-CoV-1., Expected to have few, if any, interactions with other medications a patient may be taking.."
Genetically Encoded Lysosome Targeting Chimeras for Cell-mediated Delivery,https://techfinder.stanford.edu/technology/genetically-encoded-lysosome-targeting-chimeras-cell-mediated-delivery,"Researchers at Stanford have developed fully genetically-encodable lysosome-targeting chimeras which allow for the targeted delivery of various proteins into receiver cells. Lysosome-targeted degradation is an emerging therapeutic modality that facilitates the degradation of membrane and soluble extracellular proteins. Compared to traditional therapeutic modalities, such as small molecule or antibody-based inhibitors, targeted protein degradation offers increased potential potency and broadens the druggable proteome. These techniques generally use bifunctional molecules to recruit proteins of interest to either lysosome trafficking receptors or plasma membrane-associated ubiquitin ligases. The main drawback of the first generation of this technology, called lysosome-targeting chimeras (LYTACs), is that they contain synthetic glycopeptides that cannot be genetically encoded, thereby limiting cell-mediated delivery applications. Stage of Development Research – in vitro Stage of Research The inventors have developed fully genetically-encodable lysosome-targeting chimeras (GELYTAC), which allow for integration into therapeutic cells for targeted delivery at desired tissue sites. This comprises fusion polypeptides containing a target binding domain and an IGF2R-binding portion of a human IGF2 protein. Applications include The engineered GELYTAC construct can secret from human cells, including primary T-cells, to drive the uptake of various proteins into receiver cells and act on local targets., Administration to a human in need with a condition requiring targeted protein degradation in an appropriate dosage to ameliorate or treat at least one symptom., Application with a pharmaceutically acceptable carrier that can enhance, stabilize or facilitate the preparation of the expression cassette encoding the fusion polypeptide.. Advantages of the device are Improved potency by mutations in the IGF2 protein in the engineered GELYTAC., Integration of therapeutic proteins into the genomes of therapeutic cells for targeted delivery at diseased sites., Broad cell-mediated delivery applications., Spatially-selective targeted protein degradation.."
3D Printing of Organoid Slurries,https://techfinder.stanford.edu/technology/3d-printing-organoid-slurries,"Researchers at Stanford have developed methods for 3D printing and post-biomanufacturing of organoid slurries in a high yield stress matrix. Biomanufactured tissues and organs on demand has been a long-standing challenge in the field of tissue engineering. Despite the advancements allowed by 3D bioprinting, current techniques remain sub-optimal for both printing dynamics and post-biomanufacturing maturation of the cells in the printing structure. Stage of Development Research – in vitro Stage of Research The inventors have developed methods for the biomanufacturing of large-scale tissue constructs. This includes methods for preparing a tissue and allowing the printed cell structure to incubate in the biocompatible matrix. The printed cell structure is generally removed from the biocompatible matrix when it has sufficient strength to be self-supporting or has developed into a contiguous tissue. Applications include The biocompatible matrix can comprise a foam, emulsion, colloid, granular medium, or gel., The biocompatible matrix can include one or more types of diverse growth media or can include polyacrylic acid., The cell bioink can comprise a slurry of compacted organoids such that they are deformed from their equilibrium shape., The cell bioink has a cell density similar to that of native tissues, and it is substantially free of exogenous material such as collagen or gelatin.. Advantages of the device are An extended time can be allowed for at least a portion of the cells in the printed cell structure to develop into a contiguous tissue. Depending on the type of cells, this can range from 24 hours up to 15-to-50 days, unlike other state-of-the-art methods where cells must be removed from the printing matrix almost immediately., The biocompatible matrix can include a rheological modifier to tune the self-healing time of the matrix; a rapid, self-healing matrix can help alleviate deformation of the printed cell structure due to the stiffness of the matrix from the high yield stress during printing., The cell bioink can be deposited in the matrix by any type of extruder sufficient to deposit the cell bioink, including a 3D printer or syringe.."
3D Heat Spreading (Heat-plating) from Semiconductor Devices,https://techfinder.stanford.edu/technology/3d-heat-spreading-heat-plating-semiconductor-devices,"Stanford researchers have developed a novel fabrication method of high thermal conductivity 3D heat spreaders for semiconductor devices. Self-heating in the channel of semiconductor devices degrades device performance and shortens device lifetimes. In this method, a thin polycrystalline diamond layer is deposited in one step both on top and around the sides of the semiconductor devices in order to remove heat from all three dimensions, with the lowest thermal boundary resistance of 3.1 m2K/GW. This represents a significant advantage over previous fabrication methods that take multiple steps and only remove heat from two dimensions. Additionally, this fabrication method has been demonstrated to significantly improve thermal management properties on GaN semiconductors without degrading performance. This could be of particular importance for 5G and RADAR applications that use GaN semiconductor devices.  Figure Description: Reduction of the high-temperature peak with 3D integration of the diamond layer as compared to 2D or no integration of the diamond layer. (Image credit: the inventors) Stage of Development Prototype Applications include Thermal management for semiconductor devices to improve device lifetime and performance, Thermal management for improved performance of GaN PAs commonly used in 5G and RADAR stations. Advantages of the device are Simpler, one-step fabrication compared to the existing multi-step technologies for heat removal from semiconductor devices, Heat removal in three dimensions (previous fabrication methods limited to two dimensions)."
