university,title,number,patent,link,description
MIT,"Drinkable, Tough Hydrogels for GastrointestinalApplications",Case number: #24642JQ,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/drinkable-tough-hydrogels-gastrointestinal,"This technology is a method for oral drug delivery involving the administration of pharmaceutically acceptable fluids to a patient in drinkable form. These fluids then partially or fully solidify within 15’ in the stomach to form a slow or sustained drug release article. This drinkable formulation allows for easier oral administration of drugs in a liquid format which transitions to a solid state within the stomach while encapsulating the active agent(s), optimizing drug release over time while providing protection against the harsh environment of the stomach.\n\nTechnology: This method can utilize either one or two compositions. If a singular composition is used, it is formulated to thicken and solidify when exposed to pH conditions in the gastrointestinal tract. In the case of two separate compositions, the first fluid contains crosslinkers, and the second fluid contains hydrogel precursors and pharmaceutical agent. When these fluids are mixed within the stomach, they polymerize to form a double network hydrogel. The patient drinks the first fluid followed by the second, allowing the mixture to harden to form an excipient containing the active pharmaceutical agent(s). The compositions and methods were enabled with crosslinked alginate and four-arm PEG-maleimide hydrogels for sustained releases of both viable enzymes and probiotic bacteria in vivo using large animal model systems (porcine). The biocompatible devices remained within the stomach for up to 24 hours prior to dissolution.\n\nProblem Addressed: Oral drug delivery (e.g., pills, gel tabs, or capsules) can be difficult, unpleasant, or impossible for many patients, particularly older and younger ones. While liquid formulations are easier to ingest, they are susceptible to rapid dilution and/or degradation within the harsh environment of the gastrointestinal tract and may not provide ideal release profiles or localization of therapeutics. This technology offers a drinkable drug formulation capable of changing into a solid after swallowing.\n\nAdvantages: Drinkable formula allows for easy drug administration. Capable of transitioning from liquid to solid within the stomach. Solid state protects the drug against the harsh gastric environment. Longer gastric retention, allows for co-encapsulation, and improves control of API release kinetics"
MIT,Fanzors are RNA-Guided Nucleases Encoded in EukaryoticGenomes,Case number: #24942,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/fanzors-are-rna-guided-nucleases-encoded-eukaryotic,"This invention introduces compositions and methods for targeting polynucleotides with eukaryotic RNA-guided nucleases, particularly Fanzors which are programmable RNA-guided DNA endonucleases, useful for genome editing in human cells and other organisms. Compositions include Fanzor polypeptides with RuvC domains and fRNA molecules directing them to target specific sequences. This technology enables precise targeting of specific polynucleotide sequences, highlighting the biotechnological potential of eukaryotic RNA-guided nucleases and potentially revolutionizing gene editing and therapeutic applications.\n\nTechnology: The Fanzor polypeptide consists of two main parts: a RuvC domain and an fRNA molecule. The fRNA molecule acts as a guide, directing the Fanzor polypeptide to a specific target sequence in the genetic material. The RuvC domain within the Fanzor polypeptide plays a crucial role to cleave/modify the target sequence. As a whole, the Fanzor protein acts as an enzyme to allow precise manipulation of genetic material.\n\nProblem Addressed: Challenges in gene editing lie in accurately editing specific DNA or RNA sequences without affecting other parts of the genome. Furthermore, existing technologies tend to lack precision or efficiency, creating a need for safe and effective gene editing tools for research and medicine. Fanzors address these problems by using RNA-guided endonucleases to precisely target specific genetic sequences. This innovation has the potential to revolutionize gene editing and therapeutic applications while minimizing risks associated with unintended mutations.\n\nAdvantages: Precise targeting of DNA or RNA sequences. Improved safety and efficiency compared to existing methods. Versatility for various research, clinical, and therapeutic applications"
MIT,Altered DNA Repair Pathway Engagement by Engineered CRISPR-Cas9Nucleases,Case number: #23588,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/altered-dna-repair-pathway-engagement-engineered,"This technology features an engineered Cas nuclease designed for precise genome editing. It operates by introducing specific mutations within the DNA binding cleft of the Cas nuclease, which decreases, inhibits, or prevents non-homologous end joining (NHEJ) and related indel-producing pathways. At the same time, it enhances homology-driven repair pathways, such as homology-directed repair (HDR) and microhomology-mediated end-joining (MMEJ). This advancement enables more accurate and predictable genome edits compared to existing CRISPR-Cas systems.\n\nTechnology: The engineered Cas nuclease (vCas9) is introduced into cells, where it decreases, inhibits, or prevents indel-producing DNA repair pathways, such as NHEJ, and enhances precise editing pathways like HDR and MMEJ. This shift is driven by specific mutations within the DNA binding cleft of the Cas nuclease. The technology is versatile, functioning in both dividing and non-dividing cells, making it suitable for a wide range of genome editing applications.\n\nProblem Addressed: This technology addresses the limitations of traditional CRISPR-Cas systems, which frequently result in unpredictable and imprecise genome edits due to the common occurrence of indel mutations through pathways like NHEJ. These indels can lead to unintended genetic modifications, complicating the editing process. By decreasing, inhibiting, or preventing NHEJ and promoting HDR and MMEJ, this technology enables more precise and reliable genome edits.\n\nAdvantages: The engineered Cas nucleases reduce NHEJ while increasing HDR and MMEJ, leading to more precise genome editing.. These nucleases are effective in both dividing and non-dividing cells, broadening their applicability.. By minimizing indel formation, the engineered nucleases reduce the likelihood of unintended mutations, enhancing the reliability of genome editing.. The mutations in the DNA binding cleft of the Cas nucleases improve the efficiency of precise genome edits."
MIT,Poly(-amino ester) Microparticles for MicronutrientFortification,Case number: #22992,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/poly-amino-ester-microparticles-micronutrient,"Micronutrient deficiency is a world-wide issue impacting almost 400 million preschool-aged children and 1.2 billion non-pregnant women of reproductive age. This technology discloses the formula and creation of micronutrients encapsulated by microparticles (MPs) useful for the treatment and prevention of diseases caused by micronutrient deficiency. Stabilizing micronutrients by encapsulating them with polymers allows for their introduction in food fortification efforts at any stage of the food production process.\n\nTechnology: Microencapsulation ensures the efficient release of protected micronutrients from the delivery platform, resulting in high bioavailability for absorption into the digestive system. MPs fabricated from biodegradable, natural product-based polymers can reduce regulatory barriers from a safety perspective and mitigate long-term environmental risks associated with large-scale implementation. Encapsulation of various micronutrients in biodegradable polymers dramatically improves stability during storage and exposure to high temperatures. Micronutrient release is triggered by stomach acids, providing excellent selectivity for the digestive system.\n\nProblem Addressed: Globally, micronutrient deficiencies affect approximately two billion people, causing up to two million childhood deaths per year. Despite global initiatives to address these micronutrient deficiencies, specific micronutrient stability issues continue to hinder food fortification efforts. MPs encapsulating micronutrients offer a protective layer that shields the unstable cargo from the external environment. These free-flowing powders can be easily incorporated into food matrix processing, delivering essential micronutrients directly to the human digestive system.\n\nAdvantages: Stabilizes micronutrients for fortification of food products.. Addresses global micronutrient deficiencies.. Provides a safe, biodegradable delivery method for micronutrients.. Microparticles offer exceptional stability for micronutrients during storage and cooking, ensuring they remain biologically active.. Made from biodegradable, natural product-based polymers, reducing regulatory barriers and long-term environmental risks.. Microencapsulation ensures efficient dissociation in the digestive system, leading to high bioavailability for human absorption.. Suitable for delivering a wide range of agents, making it suitable for various health interventions."
MIT,Backbone Cleavable Polymethacrylates Via Optimized ThionolactoneComonoemers,Case number: #25292,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/backbone-cleavable-polymethacrylates-optimized,"This technology comprises a chemical formula for thionolactones, which may be useful as comonomers for copolymerization. Thionolactone-based polymethacrylates represent a novel class of polymers that incorporate cleavable thioester groups into their backbone, enabling their degradation into smaller fragments. Utilizing radical ring-opening polymerization (rROP), these polymers are synthesized by copolymerizing thionolactones with methacrylates, resulting in degradable random copolymers. This technology marks a significant advancement in sustainable materials, offering an eco-friendly alternative to traditional non-degradable polymers.\n\nTechnology: The synthesis of backbone cleavable polymethacrylates begins with thionolactones—comonomers that can copolymerize with methacrylates to produce random copolymers. By employing rROP, cleavable thioester groups are randomly integrated into polymer backbones. The resulting polymers are backbone-degradable, allowing them to be broken down under specific conditions for recycling, upcycling, or biodegradation schemes.\n\nProblem Addressed: This technology addresses the need for degradable polymethacrylates by incorporating cleavable thionolactones into polymer backbones. Previously, the development of such materials has faced challenges due to the reaction kinetics of methacrylate polymerization, making it difficult for cleavable comonomers to be inserted into the polymer backbone randomly. The disclosed technology presents optimized thionolactone comonomers capable of forming eco-friendly, degradable polymethacrylates.\n\nAdvantages: Enables the creation of polymers with cleavable thioester groups in their backbones, thereby allowing for degradation into small fragments suitable for recycling or biodegradation. Offers a new approach to polymer design by utilizing thionolactones as comonomers, which have not been previously used to make poly(methacrylates). The resulting copolymers have many potential applications for waste management and biodegradability, addressing environmental concerns"
MIT,Liquid Exchange and Positioning of Cellular Entities in a Liquid-airInterface,Case number: #24928J,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/liquid-exchange-and-positioning-cellular-entities,"This technology is a hanging drop-based microfluidic system, device, and method for liquid exchange in the vitrification of an egg or embryo. The method involves forming a hanging drop chamber, receiving the specimen into the chamber, and loading various liquids into the plurality of microfluidic channels to facilitate a controlled liquid exchange surrounding the cell prior to freezing. By automating the delicate process of cryoprotectant loading and specimen retrieval, this technology ensures low-cost, scalable, and consistent outcomes.\n\nTechnology: An egg or embryo is first loaded into the disposable chamber (or hanging drop). From there, it sinks due to gravity and migrates towards the liquid-air interface of the chamber, which has an opening connected to the microfluidic channel in the housing. Once in the housing, the liquid exchange process commences by flowing different liquids (e.g., cryoprotectants) through the inlet and microfluidic channel and out through outlet. Once the specimen has been retrieved from the chamber via a vitrification carrier (such as a cryoloop which can be connected to a robotic arm), it is rapidly moved into a vitrification medium, such as liquid nitrogen, to complete the freezing process for long term storage.\n\nProblem Addressed: The absence of an automated method for egg or embryo freezing has caused the egg vitrification market to have high costs, low scalability, and high variability in clinical outcomes. Egg freezing’s technical and sensitive nature necessitates highly trained embryologists, which are in limited supply. However, even with skilled embryologists, damage to eggs can still occur during several critical steps of vitrification, namely loading of the cryoprotectant, timing of the processes, and using too much liquid during freezing. An automated device operated by an entry-level embryologist could ensure consistent clinical outcomes comparable to top-tier experts and enable scalability. By significantly reducing the level of technical skill and clinical infrastructure needed to perform reliable egg freezing, this invention can simultaneously improve the quality of cryopreservation, lower costs, increase the number of viable cells upon thawing, and enable expanded access for patients.\n\nAdvantages: Reduces the level of technical skill and clinical infrastructure needed for egg or embryo freezing. Provides a fully automated and self-contained system for vitrification. Can be fully operated by entry-level technicians. Decreased likelihood of damaging eggs. Improved reliability and quality of cryopreservation"
MIT,Targeted Trans-splicing Using CRISPR-CasSystems,Case number: #20505ER,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/targeted-trans-splicing-using-crispr-cas-systems,"This technology provides a novel method of targeting ribonucleic acids for trans-splicing using any CRISPR/Cas13 orthologs having two Higher Eukaryotes and Prokaryotes Nucleotide-binding (HEPN) endonuclease domains (Type VI CRISPR effectors). The method uses the principles of endogenous RNA processing and RNA-writing using a CRISPR/Cas13 protein to initiate the targeted trans-splicing of defective pre-mRNAs, effectively correcting mutations at the pre-translation level in the nucleus and allowing for the treatment of essentially all types of mongenic diseases. The system is a significant improvement over CRISPR-mediated genomic DNA editing and other gene therapies as it allows for the option of transient RNA repair while improving both the specificity and the efficiency of trans-splicing events.\n\nTechnology: The CRISPR/Cas13 system (a complex of the nuclease-inactive Cas13, guide RNA, and a repair splice donor/acceptor template), specifically recognizes target sequences on the defective pre-mRNA. The system then mediates the process of trans-splicing, utilizing the repair template to join exons within the pre-mRNA or replace targeted exons. This precise modification ensures the desired edits within the repair template are incorporated into the final mRNA. As a result, a modified RNA molecule is produced, which can encode the corrected protein, a novel protein or serve as therapeutic noncoding or regulatory RNA.\n\nProblem Addressed: This technology addresses the limitations of traditional RNA splicing methods by improving the efficiency and specificity of trans-splicing. It offers a mechanism to precisely repair RNA, increasing protein diversity without altering the genomic DNA. Additionally, it can be exploited for molecular therapy to correct mutated gene products and treat a wide range of diseases.\n\nAdvantages: The use of Cas13 and guide RNA allows for precise manipulation of RNA transcripts. Enables exon swapping at 5’/3’ ends and internally, in dividing and post-mitotic cells. Trans-splicing at the pre-mRNA level does not cause changes to genomic DNA. Potential for one off-the-shelf therapeutic formulation to be able to correct multiple different disease-causing mutations in a gene across a patient population"
MIT,Volume Contraction and Substrate Fluidization as a Means to Reduce Drag on Bodies Moving Through a GranularSubstrate,Case number: #13498,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/volume-contraction-and-substrate-fluidization-means,"A method or corresponding apparatus in an example embodiment of the present invention relates to penetrating a particulate substrate using a compact, low-energy, reversible, and dynamic device for burrowing through particulate substrates. In one preferred embodiment, the apparatus includes at least one vessel and a displacement module coupled with the vessel. The actuation of the displacement module fluidizes the particulate substrate proximate to the vessel and thereby reduces resistance of the particulate substrate to movement of the vessel and causes further penetration of the apparatus through the particulate substrate. The example embodiment utilizes volume contraction and localized fluidizing to move through substrates."
MIT,Compensated Precessional Beam Extraction Apparatus forSynchrocyclotrons,Case number: #12757,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/compensated-precessional-beam-extraction-apparatus,A plurality of magnetic extraction bumps are incorporated into a cyclotron that further includes (a) a pair of magnetic coils encircling a central axis and positioned on opposite sides of a median acceleration plane and (b) a magnetic yoke encircling the central axis and including a return yoke that crosses the median acceleration plane and a first and second pole on opposite sides of the median acceleration plane. The magnetic extraction bumps extend in series radially from the central axis on opposite sides of the median acceleration plane and can be used to extract an orbiting accelerated ion from the cyclotron.
MIT,Identification Techniques and Device for Testing the Efficacy of Beauty Care Products andCosmetics,Case number: #13838,,https://tlo.mit.edu/industry-entrepreneurs/available-technologies/identification-techniques-and-device-testing-efficacy,"A method for testing the effect of a skin care product includes measuring a mechanical property of skin tissue using nonlinear stochastic system identification, applying the product to the skin, repeating the measurement of the mechanical property after the application of the product, and comparing the before and after measurements to quantify the effect of the product.\nMeasuring the mechanical property of the skin can include placing a probe against a surface of the skin, perturbing the skin with the probe using a stochastic sequence, and measuring the response of the skin to the perturbation. Perturbing the skin can include indenting the skin with the probe, extending the skin with the probe, and sliding the probe across the skin surface. The mechanical property may be indicative of skin compliance, skin elasticity, skin stiffness, or skin damping. The mechanical property can be dependent on perturbation depth and may be measured at a plurality of anatomical locations."
