"university","title","number","patent","link","description","LLM Summary","LLM Teaser"
"Stanford University","Improved cfDNA methylation profiling through correction of misrepaired jagged-ends","Docket #: S23-034","","https://techfinder.stanford.edu/technology/improved-cfdna-methylation-profiling-through-correction-misrepaired-jagged-ends","Stanford researchers have developed an in silico method, JEEPERS, that corrects DNA methylation errors at jagged-ends, improving cfDNA methylation profiling for early cancer detection and tissue-of-origin classification.\nCell free DNA (cfDNA) methylation profiling allows early cancer detection and tissue-of-origin classification. However, end repair process during library preparation for cfDNA sequencing may introduce changes in methylation patterns. To address this issue, Stanford researchers have developed JEEPERS (Jagged-End Error Polishing of Enzymatically misRepaired Sequences), a novel in silico method for correcting errors in methylation data resulting from the end repair process in double-stranded library preparation. It detects and corrects errors at jagged-ends (JEs) in silico, leveraging support from complementary strands and sibling reads.\nStage of Development\nProof of Concept\n\nApplications: Early cancer detection.\n\nAdvantages: Superior cfDNA genotyping, Identification of allele-specific methylation, hemi-methylation, and gene expression, Compatible with other methylation datasets, Low cost.","**Summary:** Stanford researchers have developed an in silico method, known as JEEPERS, to enhance the accuracy of cfDNA methylation profiling, which is crucial for early cancer detection and tissue-of-origin classification. This method addresses errors in methylation patterns that can occur during the end repair process in library preparation for cfDNA sequencing, correcting these errors at jagged-ends by utilizing data from complementary strands and sibling reads. The technology is currently at the proof-of-concept stage.

**Applications:** The primary application of this technology is early cancer detection and classification of the tissue of origin.

**Problem Solved:** JEEPERS effectively resolves the issue of methylation errors introduced during the library preparation process for cfDNA sequencing, leading to improved accuracy in methylation profiling and enhancing the reliability of results for cancer diagnostics.","Stanford researchers created an in silico method called JEEPERS, which corrects DNA methylation errors at jagged-ends in cfDNA. This improvement enhances the accuracy of cfDNA methylation profiling, aiding in early cancer detection and tissue-of-origin classification."
"Stanford University","B7H3-Targeting Peptides","Docket #: S24-042","","https://techfinder.stanford.edu/technology/b7h3-targeting-peptides","Theranostics represents a paradigm shift in cancer treatment, offering a more personalized and molecular approach to cancer diagnosis and treatment with striking efficacy and low toxicity. The significance of theranostics therefore lies in its ability to personalize and optimize medical treatments by tailoring them to individual patients.\nB7H3 is a transmembrane protein, that has recently been identified as a pan-cancer antigen with dense expression across a multitude of cancer types and with restricted expression in normal tissue, rendering B7H3-targeted radiotheranostics a viable treatment option for millions of patients.\nDespite the promise of B7H3, no peptide ligands have been identified. Furthermore, because the protein lacks structural and functional characterization there is currently no a priori way to design ligands.\nStanford researchers have discovered B7H3-targeting peptides from peptide phage display that can be used for cancer theranostic applications, such as for diagnostic imaging and peptide-targeted radionuclide therapy. This would allow for both the diagnosis and treatment of various advanced or refractory cancers lacking other viable therapies.\nThe newly identified peptide is the first peptide identified specific to B7H3, and when chelated to 68Ga and 177Lu, the first radionuclide therapy for B7H3. Researchers predict that the B7H3 peptide-targeted radiotherapeutics would have preferential uptake in tumor tissue where the majority of DNA damage would occur, with timely elimination from clearance organs.\nStage of Development\nIn vitro and in vivo: proof of concept in cell lines\n\nApplications: Cancer diagnostic, Radionuclide cancer therapy, Cancer theranostics.\n\nAdvantages: Cost effective synthesis, Can be used to diagnose and treat a range of resistant and refractory cancer types, Favorable pharmacokinetics, First peptides identified specific to B7H3\n\nCan chelate 68Ga and 177Lu for radionuclide therapy, Can chelate 68Ga and 177Lu for radionuclide therapy.","**Summary:** The technology involves the discovery of B7H3-targeting peptides that have potential applications in cancer theranostics, which combines diagnosis and treatment in a personalized manner. B7H3 is a transmembrane protein expressed in various cancers but minimally in normal tissues, making it an ideal target for radiotheranostics. The identified peptides enable the development of specific imaging and therapy techniques, utilizing radionuclides for targeted treatment. This advancement addresses the current lack of identified peptide ligands for B7H3 and allows for the design of effective cancer therapies.

**Applications:** The B7H3-targeting peptides can be used in cancer diagnostic imaging and peptide-targeted radionuclide therapy, providing solutions for advanced or refractory cancers that have limited treatment options. 

**Problem Solved:** The technology addresses the absence of identified peptide ligands for the B7H3 protein and the need for effective cancer treatments, offering a dual approach for diagnosis and therapy, thus enhancing personalized cancer care and potentially improving patient outcomes.","Theranostics offers a personalized and molecular approach to cancer diagnosis and treatment, characterized by high efficacy and low toxicity. B7H3 is a transmembrane protein identified as a pan-cancer antigen, exhibiting dense expression across various cancer types."
"Stanford University","Efficient wide-field nanosecond imaging methods using Pockels cells for low-light applications","Docket #: S18-388","Published Application: 20210389244, Published Application: 2024-006887-, Issued: 11,592,393 (USA), Issued: 11,965,780 (USA)","https://techfinder.stanford.edu/technology/efficient-wide-field-nanosecond-imaging-methods-using-pockels-cells-low-light","Stanford researchers at the Kasevich Lab have developed a module that can attach to any standard optical system or sensor for wide-field, time-resolved imaging. This invention enables nanosecond image gating and modulation in low-light conditions, opening new applications for wide-field imaging such as fluorescence lifetime imaging microscopy (FLIM). This technology enables the first wide-field lifetime camera that is compatible with single-molecule microscopy.\nExisting sensors for wide-field nanosecond imaging (e.g. time-of-flight cameras, SPAD arrays, and gated intensifiers) sacrifice performance and are not compatible with low-light applications in bioimaging and fluorescence microscopy. The researchers have demonstrated the use of electro-optic wide-field imaging gates for nanosecond temporal resolution with high photon collection efficiency. Their method enables wide-field FLIM in a single exposure image on any standard camera sensor. By acquiring all pixels in parallel they demonstrate 5 orders of magnitude improvement in imaging speeds compared to single photon counting. They have also demonstrated 39 MHz image modulation for fluorescence lifetime microscopy of single molecules at high frame rate. This allows FLIM applications in super-resolution microscopy and observations of single-molecule dynamics such as FRET. Prototypes have been tested on commercial microscopes.\nOn-going work: Researchers are continuing to improve the technique to allow larger imaging field-of-view, higher frequency operation, and improved electro-optic configurations. A compact and user-friendly module for MHz resonant image modulation is under development. The inventors have expanded upon this technology in Stanford Docket 19-424: Wide-field Resonant Electro-optic Imaging Devices and Applications .\nStage of Development:\nFigures:\nFigure description- A) Schematic of Pockels cell detection with two temporal bins. Input from an imaging system (pulsed excitation and fluorescence from a microscope is drawn) is split by two polarizing beam-splitters before and after Pockels cell. All emitted photons are captured in four spatially separated images on any standard detector. Image intensities on the sensor encode temporal information from the Pockels cell modulation. Any modulation V(t) may be applied.\nFigure description- Wide-field FLIM Examples: (a) FLIM image of a mouse kidney slice differentiating two fluorophores by lifetime (b) Single-molecule FLIM image on a mixture of molecules having different lifetimes – dynamics for each molecule may be observed at high frame-rate (see Publications) - 10 µm scalebar (c) Combination of FLIM and single-molecule super-resolution microscopy. Lifetime is measured for each single molecule burst and plotted at the localization coordinate (1 µm scalebar, 100 nm inset)\nMovie 1: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.\nMovie 2: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.\nMovie 3: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.\n\nApplications: Fluorescent lifetime imaging microscopy (FLIM), Single-molecule FLIM and FRET imaging, Wide field lock-in detection and modulated imaging, Imaging FRET probes such as voltage indicators, Combination of FLIM with super-resolution and single-molecule microscopy, Combination of FLIM with light-sheet microscopy, Endoscopic imaging and clinical diagnostics, LIDAR and 3D scanning, Multi-dimensional / 'hyperspectral' imaging combining lifetime with other imaging dimensions, Single-shot, multi-frame nanosecond imaging, Time-to-space conversion and temporal image multiplexing with gated cavity optics, Time-resolved charged particle detectors.\n\nAdvantages: High photon efficiency, All-optical method, FLIM acquisition on standard scientific cameras, FLIM acquisition in a single-frame exposure, Demonstrated 5 order of magnitude throughput improvement, Single-molecule compatible, No photon loss due to gating, Compatible with existing imaging systems and low-cost CMOS/CCD sensors.","**Summary:** Researchers at the Kasevich Lab at Stanford have developed a versatile module that can be integrated with standard optical systems or sensors to enable wide-field, time-resolved imaging under low-light conditions. This technology introduces nanosecond image gating and modulation, facilitating the first compatible wide-field lifetime camera for single-molecule microscopy. Their system utilizes electro-optic wide-field imaging gates to achieve high photon collection efficiency and notable temporal resolution, making it suitable for various bioimaging applications, specifically fluorescence lifetime imaging microscopy (FLIM).

**Applications:** This technology has broad applications in wide-field imaging, particularly in fluorescence lifetime imaging microscopy (FLIM), super-resolution microscopy, and the observation of single-molecule dynamics, including Förster resonance energy transfer (FRET). The ability to perform high-speed imaging could significantly enhance research in molecular biology and biophysics by allowing detailed study of biomolecular interactions and behaviors.

**Problem Solved:** The invention addresses the limitations of existing wide-field nanosecond imaging sensors, which often compromise performance and are unsuitable for low-light bioimaging applications. By enabling parallel acquisition of data across all pixels with greater speed and efficiency, the technology greatly enhances imaging capabilities in fluorescence microscopy, overcoming the challenges associated with low-light conditions and improving overall research efficacy in cellular and molecular studies.","Stanford researchers at the Kasevich Lab have created a modular device that attaches to standard optical systems for wide-field, time-resolved imaging in low-light conditions. This system facilitates nanosecond image gating and modulation, making it the first wide-field lifetime camera compatible with single-molecule microscopy and advancing applications like fluorescence lifetime imaging microscopy (FLIM)."
"Stanford University","Wide-field Resonant Electro-optic Imaging Devices and Applications","Docket #: S19-424","Published Application: 20210223399, Issued: 11,828,851 (USA)","https://techfinder.stanford.edu/technology/wide-field-resonant-electro-optic-imaging-devices-and-applications","The Kasevich lab has expanded on an earlier invention ( Stanford Docket 18-388: """" Efficient wide-field nanosecond imaging methods using Pockels cells for low-light applications"""" ) that achieves efficient ultrafast temporal imaging on standard camera sensors. Current fast camera sensors have significant drawbacks and achieve nanosecond resolution only by sacrificing performance and sensitivity. Low-cost nanosecond camera sensors with favorable performance and form-factor are more desirable, especially for applications in LIDAR and fluorescence lifetime imaging.\nThe Kasevich lab has developed resonant electro-optic imaging techniques and optimized the design of electro-optic crystals to allow compact, low-cost, and wide angular field-of-view imaging. Embodiments include multi-layer structures of low-cost electro-optic crystals and polarization optics, configurations to reduce switching voltage, and integrated systems for wide-field imaging.\nThis technology is an advantageous approach to Pockels cell LIDAR beyond conventional """"flash"""" imaging mode – combining high distance resolution with large depth of fields, which is not possible with traditional Pockels cell approaches. It is also compatible with mode-locked laser sources and megahertz repetition rates, and facilitates compact and low-cost nanosecond imaging and LIDAR on standard CMOS sensors.\nStage of Development - Prototype\n\nApplications: LIDAR with enhanced resolution at large depth of field, Wide field ultrafast imaging, LIDAR and time-of-flight imaging for remote sensing, mapping, autonomous cars, 3D cameras, 3D scanners, and foreground object detection, Fluorescence lifetime imaging microscopy (FLIM), FLIM + wide-field microscopy techniques, Single-molecule imaging and super-resolution microscopy, Light sheet microscopy, Medical diagnostics and endoscopic imaging, High speed optical switching.\n\nAdvantages: Compatible with standard CMOS cameras, Reduced switching voltage and power requirements, High photon efficiency, Compact and inexpensive construction, Industrially scalable, Avoids dead-time and throughput limitations of single-photon counting detectors.","**Summary:** The Kasevich lab has developed advanced resonant electro-optic imaging techniques that enhance ultrafast temporal imaging capabilities on standard camera sensors, improving upon earlier methods that faced limitations in performance and sensitivity. This technology focuses on creating low-cost, compact, and efficient imaging systems using optimized electro-optic crystals, enabling high-resolution imaging suitable for a variety of applications. The system is notable for its ability to maintain quality while offering wide angular field-of-view and compatibility with existing mode-locked laser technologies.

**Applications:** The technology is applicable in LIDAR systems that require enhanced resolution at large depths of field, as well as in wide-field ultrafast imaging, fluorescence lifetime imaging, and any scenario requiring nanosecond imaging solutions on standard camera sensors.

**Problem Solved:** This advancement addresses the difficulties associated with existing fast camera sensors, which typically compromise performance and sensitivity to achieve nanosecond resolution. By providing a method that combines high distance resolution with a large depth of field, the technology paves the way for efficient and cost-effective imaging solutions in both research and practical applications.","The Kasevich lab has built upon an earlier invention to develop efficient ultrafast temporal imaging methods using Pockels cells for low-light applications. This advancement aims to provide low-cost nanosecond camera sensors that maintain performance and sensitivity without the significant drawbacks of current fast camera sensors."
"Stanford University","Engineering functional cardiac tissue using a twist-expand mechanical bioreactor","Docket #: S23-545","","https://techfinder.stanford.edu/technology/engineering-functional-cardiac-tissue-using-twist-expand-mechanical-bioreactor","Stanford researchers have invented a twist-expand mechanical bioreactor that provides an appropriate in vitro microenvironment for induced pluripotent stem cell (iPSC) derived cardiomyocytes to achieve biomimetic anisotropic alignment and form contractile cardiac tissue.\nMany studies have successfully demonstrated directed differentiation of iPSCs into cardiomyocytes. However, further assembling and maturing the iPSC-derived cardiomyocytes to mimic the mechanics of the native heart tissue remains a challenge. To overcome this challenge, studies have created microenvironments resembling that of primary cardiomyocytes during development: micropillar structures were placed to provide a 3D environment and exogenous cues were applied to facilitate anisotropic alignment of cells for coordinated contraction and electrical conduction. The engineered tissue's maturation was improved but still not comparable to the native heart.\nResearchers at Stanford have devised a platform that provides a more biomimetic microenvironment (Figure 1). Using advanced 3D bioprinting technology, cells were printed with soft silicone in preferred arrangements. The print was placed in an electrically conductive bioreactor that can be actuated to apply torsional force or pneumatic pressure to the silicone to introduce twisting and contractile cardiac mechanics that the micropillar approach neglected to include. This system has the potential to form functional macro-level heart tissues from iPSC-derived cardiomyocytes.\nStage of Development\nPrototype\n\nApplications: Cardiac tissue engineering, Drug testing, Disease modeling, Developmental studies.\n\nAdvantages: Mimics the complex contractile pattern of the native heart tissue better than other existing systems, Potential for personalized treatment.","**Summary:** Stanford researchers have developed a twist-expand mechanical bioreactor that creates an optimized in vitro environment for induced pluripotent stem cell (iPSC) derived cardiomyocytes. This system enables biomimetic anisotropic alignment and maturation of these cardiomyocytes into contractile cardiac tissue. While previous methods achieved some degree of cardiomyocyte organization, they still fell short of replicating the mechanical properties of native heart tissue. The new bioreactor utilizes advanced 3D bioprinting technology to arrange cells in specific configurations and applies torsional forces or pneumatic pressure to facilitate the twisting and contractile mechanics essential for proper heart function.

**Applications:** The technology can potentially be applied in regenerative medicine, specifically for repairing or replacing damaged heart tissue, developing heart disease models, and improving drug testing for cardiovascular therapies.

**Problem Solved:** This technology addresses the challenge of significantly improving the maturation and mechanical functionality of iPSC-derived cardiomyocytes, enabling the formation of more physiologically relevant cardiac tissue structures that better mimic the native heart in both structure and function.","Stanford researchers developed a twist-expand mechanical bioreactor that creates an optimal in vitro environment for induced pluripotent stem cell-derived cardiomyocytes to achieve anisotropic alignment and form contractile cardiac tissue. This innovation addresses the challenge of assembling and maturing these cells to replicate the mechanics of native heart tissue."
"Stanford University","Modeling human sensory ascending pathway in assembloids derived from human pluripotent stem cells","Docket #: S23-071","","https://techfinder.stanford.edu/technology/modeling-human-sensory-ascending-pathway-assembloids-derived-human-pluripotent-stem","The ascending somatosensory pathway transmits sensory information, including pain, touch and itch, from the peripheral nervous system to the brain. Dysfunctions in this pathway are linked to disorders like peripheral neuropathy and autism spectrum disorder. Despite a significant need for effective therapeutics modulating pain and other somatosensory modalities, clinical translation remains challenging, which is likely related to species-specific features and the lack of in vitro models to directly probe and manipulate this polysynaptic pathway.\nTo remedy this issue, Stanford researchers have developed the first human ascending sensory pathway model using assembloids. The method involves differentiating human induced pluripotent stem (hiPS) cells into regionalized neural organoids resembling the components of the human sensory ascending pathway (Figure 1). This model provides a unique opportunity to directly study and manipulate the human sensory ascending pathway, overcoming previous challenges. This platform also enables functional analysis, including synchronized neural activity across the entire sensory pathway, offering a powerful tool for drug discovery targeting sensory disorders.\nFigure:\nFigure description: Building human ascending somatosensory assembloid from human induced pluripotent stem cells.\nImage Credit: inventors\nStage of Development\nProof of concept- models have shown to trigger and ascend the full sensory pathway\n\nApplications: Autism spectrum disorder, Peripheral neuropathy, Research mechanisms of sensory processing and pathogenesis, Identification of novel therapeutic targets.\n\nAdvantages: First human cellular model of the ascending sensory pathway, Human-Specific Sensory Circuitry: Provides the first in vitro model that resembles the human ascending somatosensory pathway, overcoming the limitations of species differences in animal models., Comprehensive Functional Analysis: Enables simultaneous monitoring of neural activity across multiple interconnected regions (sensory, spinal, thalamic, and cortical) through calcium imaging and extracellular recordings., Targeted Disease Modeling and Therapeutic Screening: Allows for the study of sensory disorders, such as pain insensitivity, through genetic manipulation (e.g., SCN9A knockout) and offers a platform for high-throughput drug discovery targeting human sensory pathways..","**Summary:** This research presents the first human model of the ascending sensory pathway using assembloids derived from human induced pluripotent stem (hiPS) cells. The model represents key components of the human sensory ascending pathway, which is crucial for transmitting sensory information like pain, touch, and itch to the brain. By enabling synchronized neural activity analysis, this platform addresses the significant need for studying and manipulating human sensory pathways, providing opportunities for drug discovery and therapeutic interventions targeting disorders such as peripheral neuropathy and autism spectrum disorder. Current development has reached proof of concept, validating the model's ability to trigger and activate the entire sensory pathway.

**Applications:** The primary applications of this technology include investigating and modulating conditions related to the sensory ascending pathway, such as autism spectrum disorder and peripheral neuropathy. It may also support drug discovery efforts aimed at sensory disorders by allowing researchers to assess therapeutic compounds and their effects on human neural activity.

**Problem Solved:** This technology addresses the previous lack of effective in vitro models for studying the human sensory ascending pathway, which has hindered the translation of potential therapies due to species-specific differences. By creating a model that closely resembles human physiology, it facilitates direct probing and manipulation of this complex neural network, offering insights into sensory dysfunctions and potential treatment strategies.","The ascending somatosensory pathway transmits sensory information such as pain, touch, and itch from the peripheral nervous system to the brain, with dysfunctions linked to disorders like peripheral neuropathy and autism spectrum disorder. The lack of effective therapeutics for modulating somatosensory modalities is compounded by species-specific features and the absence of suitable in vitro models."
"Stanford University","Composition and Method for Autonomous RNA Switches for Translational Control","Docket #: S23-162","","https://techfinder.stanford.edu/technology/composition-and-method-autonomous-rna-switches-translational-control","Stanford scientists have discovered that the untranslated region (UTR) of RNA can be engineered into autonomous switches capable of both sensing native biological conditions (e.g. T cell activation) and promptly responding by initiating the translation of a therapeutic sequence (e.g. a chimeric antigen receptor). Autonomous mRNA switches can provide dynamic regulation within cellular immunotherapies and offer broad utility in next-generation mRNA therapeutics, such as engineering chimeric antigen receptor (CAR) T cells in vivo.\nEx vivo CAR T cell therapy has shown significant success in treating oncology patients and combating malignant tumors. However, this approach is limited by the expensive and time-consuming ex vivo production process, which can take several weeks, and the challenge of administering only a single effective dose to patients, leading to potential tumor relapse. In contrast, in vivo CAR T cell therapy offers a promising solution by directly engineering T cells within patients using mRNA therapeutics. This innovative approach enables rapid and customizable production, with the transient nature of mRNA therapies allowing for precise temporal control of therapeutic doses. Nevertheless, advancements are needed to develop technologies capable of sensing relevant biological conditions and tightly regulating the translation of therapeutic payloads. Novel strategies for controlling mRNA expression in T cells will enable the development of in vivo T cell therapies that can alleviate T cell dysfunction while preserving the protective immune responses required for human health.\nNovel engineered UTR sequences resulted in RNA elements that can sense T cell signals and modulate therapeutic mRNA expression as ON/OFF switches. These mRNA switches have been shown to induce the translation of genetic payloads upon T-cell activation. The use of these mRNA switches to control the translation of a CAR in engineered T cells resulted in the expression of the CAR and the killing of antigen-positive tumor cells. Importantly, when co-cultured with antigen-negative cells, there was no difference in CAR expression or killing when compared to baseline. Consequently, autonomous mRNA switches have the potential to enhance cellular immunotherapies and enable the development of in vivo CAR T cell therapies.\nStage of Development:\nPreclinical – in vitro data\nContinued research – in vivo demonstration of efficacy and further description of switches that capture other immune cell states (e.g. T cell exhaustion, NK cell activation, etc.). The inventors have demonstrated that the switch works efficiently with viral delivery methods, and future work will demonstrate its utility with non-viral delivery methods in various molecular forms.\n\nApplications: Production of mRNA switches that can sense and respond to native biological conditions (e.g. T cell activation), Synthetic regulation of therapeutic payloads in situ, Engineering of cellular immunotherapies in vivo.\n\nAdvantages: Precise control of the translation of genetic payloads, Rapid and customizable production of mRNA switches, Flexible temporal control of therapeutic dosing due to the transient nature of mRNA.","**Summary:** Stanford scientists have engineered the untranslated region (UTR) of RNA to create autonomous switches that can sense native biological conditions, such as T cell activation, and initiate the translation of therapeutic sequences, like chimeric antigen receptors (CARs). This technology enables dynamic regulation within cellular immunotherapies and is expected to have significant applications in next-generation mRNA therapeutics, particularly in the context of in vivo CAR T cell therapy, which can be produced rapidly and customized to patient needs.

**Applications:** The technology has broad utility in enhancing cellular immunotherapies, specifically in the engineering of CAR T cells within the body using mRNA therapeutics. It aims to improve the effectiveness of treatment for oncology patients by facilitating timely and tailored responses to biological signals.

**Problem Solved:** This approach addresses the limitations of current ex vivo CAR T cell therapies, which are expensive, time-consuming, and often lead to tumor relapse due to insufficient dosing. By developing a system that allows for in vivo engineering of T cells and precise regulation of therapeutic doses, the technology aims to enhance the effectiveness and accessibility of cancer treatments.","Stanford scientists have developed autonomous RNA switches that can be engineered into the untranslated region (UTR) of RNA, enabling them to sense biological conditions like T cell activation and initiate the translation of therapeutic sequences. These mRNA switches offer dynamic regulation for cellular immunotherapies and have potential applications in next-generation mRNA therapeutics."
"Stanford University","One-Time Delivery of Genetically Engineered Stem Cells Enable Long-Term Secretion of Therapeutic Antibodies for Treatment of HIV-1","Docket #: S23-412","","https://techfinder.stanford.edu/technology/one-time-delivery-genetically-engineered-stem-cells-enable-long-term-secretion","Stanford researchers have engineered hematopoietic stem cells to provide long-term secretion of chosen therapeutic antibodies, eliminating the need of repeated dosing for delivery.\nThirty nine million people worldwide are living with HIV infection. Autologous transplantation of specific hematopoietic stem and progenitor cells (HSPCs) is the only known cure for HIV-1 infection. However, this treatment is extremely limited due to the rarity of specific matched donors, the morbidities associated with allogeneic transplantation, and the prevalence of HIV-1 strains resistant to select gene knockout treatments alone.\nTo circumvent these limitations, Stanford researchers genetically engineered HSPCs that secrete antibodies against various targets, including but not limited to HIV, PCSK9, and TNF-alpha. The genetically engineered HSPCs can be delivered via a one-time therapy through autologous transplantation. This technology could be used to develop autologous hematopoietic stem cell transplantation therapies for the long-term delivery of therapeutic antibodies for various diseases. The engineered cells also have the potential to improve current commercial treatment strategies that address long-term control of HIV-1 infection; A disease that currently requires lifetime administration of antiretroviral therapy.\nStage of research\nProof of concept\n\nApplications: Secrete antibodies against various targets (i.e. HIV, PCSK9, and TNF-alpha), Autologous hematopoietic stem cell transplantation therapies, Research tool for control of HIV-1, Development of antibody treatment therapies.\n\nAdvantages: Long-term secretion/sustained delivery of chosen therapeutic antibodies without repeated dosing, Can express multiple antibodies simultaneously, Limited comparable cell-based products currently on the market.","**Summary:** Researchers at Stanford have developed genetically engineered hematopoietic stem cells that can secrete therapeutic antibodies over the long term, allowing for a one-time treatment rather than repeated dosing. This approach addresses significant challenges associated with HIV treatment, specifically the limited availability of matched donors for allogeneic transplantation and the issues of HIV strains resistant to gene knockout methods. The engineered stem cells can be administered via autologous transplantation, potentially revolutionizing the treatment landscape for HIV-1 and other diseases requiring sustained antibody delivery. Currently, the technology is in the proof-of-concept stage.

**Applications:** The technology can be used to secrete antibodies against various targets, including HIV, PCSK9, and TNF-alpha, and to develop autologous hematopoietic stem cell transplantation therapies for long-term delivery of therapeutic antibodies for various diseases.

**Problem Solved:** This technology addresses the limitations of current HIV treatments, which typically require lifelong antiretroviral therapy, by providing a sustainable solution that eliminates the need for ongoing medication through the long-term secretion of therapeutic antibodies from transplanted stem cells.","Stanford researchers have developed genetically engineered hematopoietic stem cells that enable long-term secretion of therapeutic antibodies, potentially reducing the need for repeated dosing in HIV-1 treatment. Currently, autologous transplantation of specific hematopoietic stem and progenitor cells (HSPCs) is the only effective cure for HIV-1 infection, but it is constrained by donor availability and associated complications."
"Stanford University","G-I-ntelligent pill (GIntellipill) for active sample collection in the gastrointestinal tract","Docket #: S24-095","","https://techfinder.stanford.edu/technology/g-i-ntelligent-pill-gintellipill-active-sample-collection-gastrointestinal-tract","Researchers at Stanford University have developed an ingestible smart pill to sample biomarkers from the gastrointestinal (GI) tract.\nThe GI tract plays an important role in maintaining overall health, as it is responsible for digesting food, absorbing nutrients, and eliminating waste. Sampling from the GI tract, particularly its mucous layer, is essential in understanding gut health and disease. Bioanalytes from the mucus can provide insights into inflammation, metabolic function, and immune response. Currently, invasive procedures like endoscopy and colonoscopy are used to sample from the GI tract. There is a need for a non-invasive method. Smart pills have recently emerged as non-invasive sampling platforms. However, to date, they have relied on passive diffusion and thus are not suitable for viscous mucus.\nStanford researchers have designed a smart pill that can be swallowed and docked at a desired location in the GI tract for active sampling of the mucus. After confirming the pill's location within the GI tract, its hydrodynamic screw is remotely actuated. The rotational motion facilitates the collection of mucus samples along its spiral path, directing them towards a dedicated collection chamber. This technology could enable easy, simple, affordable, and repeat sampling of GI tract regions of interest.\nStage of Development\nPrototype\n\nApplications: Precision medicine, Early disease detection, Health monitoring, Disease management.\n\nAdvantages: Can collect high viscosity samples, Multiple sampling locations, Cost-effective, Non-invasive, Enables frequent high quality data collection.","**Summary:** Researchers at Stanford University have developed an ingestible smart pill designed for the active collection of biomarkers from the gastrointestinal tract. This innovative device addresses the need for non-invasive sampling methods, particularly collecting mucus bioanalytes that are crucial for understanding gut health, inflammation, metabolic function, and immune response. Unlike existing smart pills that rely on passive diffusion and are ineffective in sampling viscous mucus, this new technology features a hydrodynamic screw that allows the pill to dock at specific locations within the GI tract and actively collect mucus samples. The collected samples are directed to a dedicated collection chamber, enabling easy and repeatable sampling.

**Applications:** The technology has potential applications in precision medicine, early disease detection, health monitoring, and disease management.

**Problem Solved:** This smart pill offers a non-invasive alternative to traditional invasive procedures like endoscopy and colonoscopy, enabling effective sampling from the GI tract while improving patient comfort and accessibility to regular health assessments.","Researchers at Stanford University have developed an ingestible smart pill designed to sample biomarkers from the gastrointestinal tract. This innovation aims to enhance understanding of gut health and disease by analyzing bioanalytes from the mucous layer, which can provide insights into inflammation, metabolic function, and immune response."
"Stanford University","Spinner Device for Kidney Stone and Dust Removal","Docket #: S24-093","","https://techfinder.stanford.edu/technology/spinner-device-kidney-stone-and-dust-removal","Researchers at Stanford University have developed a novel kidney stone extraction device that can be used during ureteroscopy to simultaneously remove kidney stone fragments and dust without affecting renal pressure.\nKidney stones are clusters of minerals and salts that form in the urinary tract, potentially causing severe pain from urinary tract obstruction, renal injury, or infections. During ureteroscopy, an endoscope is inserted through the urethra to break up larger stones with lasers or ultrasound. Fragments are either retrieved or, if small, allowed to pass naturally. Unfortunately, residual fragments and dust often cause recurrent symptomatic obstruction and stone regrowth. Therefore, there is a critical need for a more efficient clearance method. In response, vacuum-assisted sheaths have been recently introduced. However, they remove renal fluid along with the debris, necessitating fluid infusion to sustain the renal pressure.\nStanford researchers at the Zhao Lab have designed a safer and more efficient kidney stone fragments and dusts extraction device that can be used together with kidney stone breaking devices. Their device is based on rotation to manipulate the flow and create a vortex that provides a localized suction towards the device to capture the stone fragments and dusts in the device. Unlike the vacuum-assisted device, this device avoids the risk of collapsing the kidney due to irregularly reduced intrarenal pressure.\nStage of Development\nProof of concept – in vitro data\n\nApplications: Kidney stone removal.\n\nAdvantages: Complete clearance of stones of varying sizes, Reduced treatment time, Reduced risk of recurrence.","**Summary:** Researchers at Stanford University have developed a kidney stone extraction device that functions during ureteroscopy to effectively remove kidney stone fragments and dust without negatively impacting renal pressure. This innovative technology addresses the issue of residual fragments and dust that commonly lead to recurrent symptomatic obstruction and stone regrowth following traditional stone removal methods. The device operates using a rotational mechanism that creates a vortex, enabling localized suction to capture stone debris while preserving the integrity of the renal environment. 

**Applications:** This device can be utilized in urinary tract procedures, particularly during ureteroscopy, to enhance the removal process of kidney stones and their fragments, ultimately improving patient outcomes and reducing the incidence of recurrent stones or urinary tract obstruction. 

**Problem Solved:** The technology addresses the significant challenge of residual kidney stone fragments and dust that contribute to complications such as obstruction and regrowth, providing a more efficient and safer alternative to existing extraction methods that risk destabilizing renal pressure.","Researchers at Stanford University have developed a kidney stone extraction device that can be used during ureteroscopy to remove kidney stone fragments and dust while maintaining renal pressure. This innovation addresses complications associated with kidney stones, which can cause severe pain and urinary tract issues."
