university,title,number,patent,link,description
University of Pennsylvania,"Intuitive, easily operated bubble user interface for augmented reality",,,https://upenn.technologypublisher.com/technology/42216,"An augmented reality user interface that displays information as a series of nested bubbles in 3D virtual space.Problem:Augmented reality (AR) is the process of superimposing graphics/sounds to what a person sees, typically by adding modifications to what is seen through a tablet or phone camera (e.g. social media filters, Pokémon GO). With widespread application from games to apps to enhanced museum experiences, it represents a rapidly growing field with a market size of 18 bn USD worldwide.As its popularity increases, so does the need for more sophisticated ways of presenting information in AR. However, designing an effective AR user interface necessitates the unique challenge of translating traditional 2D methods of organizing information into 3D.Solution:The inventors tackled the problem by taking inspiration from the directory tree organization of desktop files and folders. Rather than attempt to create an entirely new way of organizing information as others have done, they instead took advantage of a data structure with which many are already intimately familiar, resulting in a creative, user-friendly solution especially well-suited for AR.Technology Overview:The inventors designed a user interface in which information is visualized as nested bubbles superimposed on what is seen on a virtual screen. For example, when a user views his/her surroundings through a smartphone camera, an app utilizing the interface would display bubbles on screen as part of the environment. The bubbles are organized into a hierarchal structure (called the “foam”) similar to folders in a typical file system. Users can navigate the foam by interacting with their screen and/or moving in real space. The information associated with each bubble is displayed on screen in response to the user’s actions.Advantages:Unlike other AR interfaces, takes advantage of an intuitive structure already familiar to most usersDesigned to have widespread application in education, commerce, and beyond, instead of being limited to one AR application as other user interfaces are (e.g. an app)Offers additional features to enhance user engagement, including shadows for realism, popups, sound effects, and cues for the user to look aroundBubble User Interface. An example of how a nested hierarchy of information nodes may be organized abstractly as bubbles (drawn as circles) is depicted in (a). Note the hierarchy need not be as regular as pictured; bubbles can have different numbers of sub-bubbles. An example of how the interface may appear to users is shown in (b).Stage of Development:ConceptProof of ConceptBench PrototypeIntellectual Property:US PatentPendingResearch MaterialsReference Media:Lane, SH et al,SIGGRAPH ’20: ACM SIGGRAPH Appy Hour, 2020Desired Partnerships:LicenseCo-developmentCase ID:21-9466-tpNCSWeb Published:11/2/2020Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/42216"
University of Pennsylvania,Improving Diagnosis and Treatment of Sarcoidosis,23-10329,,https://upenn.technologypublisher.com/technology/55694,"Using a blood or tissue biomarker to improve diagnosis and identification of a new targeted treatment.Problem:Sarcoidosis is an inflammatory disease that can affect any organ, predominantly the lung, skin, and the lymphatic system. Symptoms include difficulty breathing, extreme fatigue, skin inflammation, and joint pain. Sarcoidosis compromises patients’ quality of life and increases patient mortality. Even though the disease was identified in the late 1800s, confirmatory diagnostic tests and targeted treatments are still lacking.Solution:Identified novel biomarkers and targets for sarcoidosis via single-cell RNA sequencing and flow cytometry.Technology:Using single-cell RNA sequencing of affected and unaffected patient skin, the inventors identified that type 1 innate lymphoid cells (ILCs) were enriched in sarcoid skin. The affected skin also showed a significant increase in CXCR4 and CXCL12, which are a potent chemokine receptor and ligand, respectively, that function as homing agents for immune cells. Inhibition of CXCR4 with the FDA-approved CXCR4 inhibitor, Plerixafor, reduced granuloma formation in a mouse model of sarcoidosis.Advantages:Novel method to diagnose and to monitor sarcoidosis disease activity in blood or affected tissue.Targeted therapy of sarcoidosis with reduced side effects.Figure 1. Flow cytometry analysis of control (Ctrl) and sarcoid (Sar) blood for different ILC populations  (NK cells not shown). *p<0.05. Figure 2. CXCR4 inhibitor (plerixafor) reduces lung granuloma formation (symptom of sarcoidosis) in relevant mouse model (n=3). *p<0.05.Stage of Development:Proof of concept in human skin biopsy and mouse modelIntellectual Property:Provisional FiledReference Media:Sati, S et al.;J Clin Invest,  2024 Sep 3; 134(17): e178711.Desired Partnerships:LicenseCo-developmentCase ID:23-10329-TpNCSWeb Published:11/27/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55694"
University of Pennsylvania,"Eco-Friendly, Low-Maintenance Living Brick System for Sustainable Architecture",,,https://upenn.technologypublisher.com/technology/55695,"A portable pot-like brick cassette encasing mycorrhizal fungi and alfalfa to promote plant growth and carbon sequestration.Problem:The building sector contributes approximately 40% of global carbon emissions related to energy use. Green walls have gained popularity as a carbon offsetting strategy due to their ability to sequester carbon from the atmosphere via plant photosynthesis. However, existing green building envelope methods often involve resource-intensive construction, relying on unsustainable materials, high energy expenditure, and costly maintenance.Solution:SimbioBrick is a versatile living system that harnesses plant-fungi symbiosis to support bio-receptive architecture or create outdoor flooring that paves walkways while offsetting building carbon emissions. It features a biologically driven modular design, produces indoor and outdoor oxygen, continuously sequesters carbon, retains water for self-irrigation, and aids in soil bioremediation. This scalable solution offers enormous potential for sustainable environmental remediation.Technology:SimbioBrick is a portable, multifunctional system that supports nutrient cycling by Arbuscular Mycorrhizal Fungi (AMF) while preserving its symbiotic relationship with alfalfa, the host plant. It contains fungal spores, seeds, water, and nutrient-storing hydrogels emulating wet soils.Constructed from 3D-printed clay bricks, the outer structure provides support and exposure to sunlight for photosynthesis, while the inner structure offers depth for fungal colonization, porosity, and sufficient drainage. The porous brick design enhances water retention and facilitates the expansion of AMF networks. The biologically driven geometry creates a habitable space for plant-fungi symbiosis while controlling moisture and sunlight exposure. The growing medium includes mycorrhizal inoculant and a nutrient solution-hydrated super absorbent polymer, enhanced with perlite for improved air permeability and root rot prevention.Advantages:The system requires minimal maintenance, including self-irrigation, and avoids the use of non-recyclable materialsThe system captures greater amounts of carbon through accelerated plant photosynthesis when deployed in urban settingsThe brick’s interlocking geometry enables self-support without additional materialsBiological behavior-driven SimbioBrick living brick system that captures carbon by enhancing plant-fungi symbiotic association. A 3D-printed clay cassette includes a sufficient watering system and porous surfaces for drainage and ventilation, allowing plant roots and mycorrhizal fungi to expand throughout the structure. This figure was obtained from Figure 3 in the paper titled “SimbioBrick: Carbon Sequestering Living Bricks by Fungi-Plant Symbiosis” in the Reference Media link below.Stage of Development:ConceptProof of ConceptBench PrototypeIntellectual Property:In PreparationReference Media:Bae, J.Y. et al.,Scalable Disruptors, 2024 Aug 30; DMS 2024, Springer: 372UPenn Environmental Innovations Initiative,2024 Apr 30,""Fungi on the Front Lines Against Environmental Injustice""Desired Partnerships:LicenseCo-developmentCase ID:24-10853-TpNCSWeb Published:11/27/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55695"
University of Pennsylvania,"Bilayer Solid-State Nanopores for the Tracking, Filtering and Guiding of DNA",,,https://upenn.technologypublisher.com/technology/55678,"A bilayered solid-state nanopore material that senses and guides DNA and other biomolecules into homogeneous configurations.Problem:Current methods of DNA sensing and sequencing typically involve short read lengths, chemical labeling, labor-intensive sample preparation, and lack of portability. To minimize these issues during DNA sequencing, protein-based nanopores have been developed and commercialized for DNA sensing. However, these protein-based nanopores are not stable in the long term, and sequence collection cannot occur at high bandwidths. Additionally, the mechanism of DNA guidance, which varies depending on the protein identity and nanopore construction, limits DNA throughput.Solution:A solid-state bilayered nanoporous material allows for controlled configuration and sensing of DNA and other biomolecules. This approach does not require DNA labeling or pretreatment with enzymes, reducing sample preparation. This material is reusable, portable, stable for longer periods of time, and throughput speed can be modulated by varying the electrical potential applied to the system.Technology:A nanoporous material consisting of MoS2 and SiN guiding reusable (GURU) bilayers. As DNA passes through pores, the electrical field applied to the bilayer geometry helps pre-sort and detect DNA via electrical signals. The electric fields in the layered geometry have varying degrees of coupling, depending on the separation of the given bilayers. Electrical coupling influences the electrical conductance measured along with the number of nanopores, layer sizes, and the charges present on the given biomolecules and the material. This customizability provides electromechanical control over DNA, enabled by increased nanofabrication precision and the ability to obtain microsecond resolution detection of the biomolecules.Advantages:DNA is tracked across a 20-nanometer distance with approximately one microsecond time resolution, representing at least one order of magnitude improvement compared to tracking markers recently shown for labeled DNA, allowing for extremely high-resolution DNA detectionCustomizability of the material and geometry allows for variable electrical coupling, so DNA can be guided into a variety of shapes depending on the desired configuration using this technology, rather than the single configurational outcome typical of other nanoporous protein-based materialsUnlike other nanoporous or traditional DNA sensing and sorting platforms, this technology is portable, stable long-term, and reusable after acid washing(A) Transmission electron microscope (TEM) images of SiN trenches with varying numbers of pores. (B) Aberration-corrected scanning electron microscope (AC-STEM) images of a two-dimensional MoS2 nanopore. (C) Coupled electric field profiles with bilayer distance L = 20 nm.Stage of Development:Proof of ConceptBench PrototypeIntellectual Property:U.S. Utility Patent Application FiledReference Media:Chou, Y.-C. et al.,Nat Nanotechnology, 2024 Aug 14; Vol.19(11): 1686Niedzwiecki, D.J. et al.,ACS Sensors, 2021 Jul 23; Vol 6(7): 2534Chou, Y.-C. et al.,J Chem Physics, 2021 Mar 14; Vol 154(10): 105102Puster, M. et al.,Nano Micro Small, 2015 Dec 16; Vol 11(47): 6309Venta, K. et al.,ACS Nano, 2013 April 26; Vol 7(5): 4629Desired Partnerships:LicenseCo-developmentCase ID:22-10138-TpNCSWeb Published:11/25/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55678"
University of Pennsylvania,Origami-Inspired And Remotely Adjustable Pediatric Heart Implant,,,https://upenn.technologypublisher.com/technology/55635,"Pediatric pulmonary artery band (PAB) using origami-inspired fabrication that is remotely adjustable after implantation.Problem:Congenital heart defects affect 1% of births in the United States and can lead to irregular blood flow through the main pulmonary artery (MPA). A pulmonary artery band (PAB) is an implant that can be placed on the MPA to restrict blood flow. However, most PAB implants fail to accommodate growth in pediatric patients, which results in frequent reoperation and financial burden. Although remotely controlled PABs have been developed, they are mechanically complex, expensive, and prone to failure.Solution:Origami structures were incorporated into the PAB design for easy fabrication, rapid assembly, and multi-state stability. This PAB is minimally invasive and can be periodically adjusted using external magnetic fields to tune blood flow through the MPA.Technology:The geometric parameters of a square origami pattern were optimized to enable the origami-inspired PAB (OPAB) device to reconfigure to multiple states. A prototype was laser cut from a sheet of polyethylene terephthalate (PET), manually folded, and assembled using tape. Panels attached to the fold panels enable the OPAB to expand or collapse using external magnetic fields. Mechanical testing indicated that the device’s stability and shape can be predicted when adjusting the device to accommodate for patient growth. During simulated in- vivo testing, the OPAB prototype successfully restricted flow rates in a mock MPA tube.Advantages:Minimally invasive, biocompatible, and compatible with current treatmentsScalable design and easily fabricated with few constituent partsExternally adjustable using magnetic control, reducing the need for surgical reoperations(A) Illustration of the origami-inspired PAB (OPAB; in gray) constricting blood flow through the main pulmonary artery (MPA; in blue) using magnetic panels. (B) The OPAB prototype with tubing represents the MPA. (C) In a clinical setting, a surgeon would 1) place the OPAB around the patient’s MPA, 2) fully compress the OPAB to ensure range of motion, then 3) tune the inner diameter using magnetic fields until blood flow is restricted.Stage of Development:Bench PrototypeIntellectual Property:US Provisional Patent Application FiledReference Media:Unger, G. and Sung, C.,""Re-programmable Matter by Folding: Magnetically Controlled Origami that Self-Folds, Self-Unfolds, and Self-Reconfigures On-Demand.""8th International Meeting on Origami in Science, Mathematics, and Education; 2024 Jul 24U.S. National Science Foundation,""Folding the Future: The rise of origami-inspired robots""; 2024 Oct 10Penn Engineering: Medium,""Penn Engineering’s Cynthia Sung is developing ‘Interactive Robogami’; 2017 Sep 06Desired Partnerships:LicenseCo-developmentCase ID:23-10185-01-TpNCSWeb Published:11/18/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55635"
University of Pennsylvania,NetSpec: An Automatic And Fast Network Specification Synthesis Toolkit,,,https://upenn.technologypublisher.com/technology/55613,"A specification-by-example toolkit that generates formal network specifications using only input-output examples.Problem:Many modern computer systems run on networks like cloud clusters or distributed systems. However, the network protocols that support the operation and security of these systems are notoriously difficult to debug. Formal network specifications provide a solution to a wide variety of network related tasks such as verification, analysis, and debugging. However, very few network engineers possess expertise in both network operation and writing formal specifications, creating a significant barrier to the adaptation of said specifications.Solution:NetSpec is a toolkit that synthesizes highly expressive formal network specifications using input-output example pairs. It is best-first search algorithm is scalable to large networks and can automatically query the user for additional input-output examples in the case of ambiguous specifications. This implementation makes synthesis of formal specifications available to users without prior expertise.Technology:NetSpec generates formal network specifications such as declarative logic programs that can be verified with tools like Vericon and Flowlog. It has been tested on a set of twenty-three different network protocol types and synthesizes solutions at similar or better performance levels as existing solutions while also requiring fewer computer resources. The algorithm optimizes a score based on the fraction and number of tuples in the synthesized network. In each round of optimization, NetSpec either introduces new rules, introduces new literals to existing rules, or aggregates operators. The search algorithm continues until no new programs provide an improvement over the current solution.Advantages:Capable of synthesizing specifications for twenty-three benchmarks while existing solutions only work on less than halfRuns faster or at similar speed for individual benchmarks on a single thread while existing solutions are multi-threadedOnly requires input-output examples and no network specification expertise from the userQueries the user for additional inputs in the case of ambiguous specificationsArchitecture of NetSpec. Input-output examples are provided from the user or a legacy application. NetSpec then generates candidate specifications. If the specifications are ambiguous, it will prompt the user for additional examples before finalizing the specification.Stage of Development:Bench PrototypeIntellectual Property:US Utility Patent Application FiledReference Media:Chen, H. et al.,IEEE/ACM Transactions on Networking, 2023 June; Vol 31(3): 994Desired Partnerships:LicenseCase ID:23-10297-TpNCSWeb Published:11/14/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55613"
University of Pennsylvania,Adhesive Microparticle Formulation For Localized And Sustained Drug Delivery,,,https://upenn.technologypublisher.com/technology/55609,"A hairy, water-in-oil-in-water microemulsion for prolonged delivery of one or more active ingredients while adhering to target tissues.Problem:Microparticles are promising drug delivery platforms due to their biocompatibility and stability. However, existing particle-based drug delivery systems are unable to fulfill the needs for prolonged delivery of drugs to a given area, as they will circulate freely in the body instead of residing in their desired locations for a certain amount of time.Solution:The inventors have developed a water-in-oil-in-water microcapsule with sticky or hairy projections that lend strong adhesive properties and can be loaded with drugs. These microcapsules can remain in their desired location even under frequent clearing and achieve prolonged drug release.Technology:Adhesive microparticles are produced through evaporation-induced self-assembly of amphiphilic copolymers. Drugs are loaded in advance of a dual-emulsion-based process, whereby microfluidic systems are used to combine aqueous and oil phases at the appropriate ratios. Finally, emulsions are processed further to produce the adhesive and hairy dendritic projections of the microcapsules.Advantages:Unique hairy structure endows the dendritic particles with stronger adhesion properties compared to traditional spherical particlesSustained drug release up to 20 hoursEncapsulate both water-soluble and -insoluble agentsBiocompatibleMultiple schemes for microparticle formulationSuccessful adhesion in wet tissue environments(A) Extracted natural teeth are used for proof of concept. (B) Adhesion properties of microparticles are structure-dependent. Compared to spherical particles (upper right), hairy particles show strong adhesion on teeth after three washes (bottom right).Stage of Development:ConceptProof of ConceptIntellectual Property:PCT Patent Application FiledWO2023235794A2Reference Media:Oh, M.J. et al.,Journ of Materials Chem B, 2024 May 22; 12(20): 4935Desired Partnerships:LicenseCo-developmentCase ID:22-10092-TpNCSWeb Published:11/13/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55609"
University of Pennsylvania,Active Nematic Colloids For Microrobotics And Materials Assembly,,,https://upenn.technologypublisher.com/technology/55597,"A material mixture (active colloids immersed in nematic liquid crystals) that act as microrobots for directed assembly and micromanipulation of passive colloidal particles.Problem:Colloids interact with areas of distortion, such as with walls or with defects in the environment such as sharp edges and can become trapped along disclination lines in passive systems. These strong interactions mean that once colloids are assembled, they can only be dis-assembled by going into the isotropic state to eliminate the elastic interactions, and thus cannot be deliberately positioned at a particular location in the domain. Thus, it is difficult for passive colloidal particles to undergo directed assembly or micromanipulation.Solution:Development of active colloids as microrobots for dynamic manipulation of passive colloids. The microrobots: (I) Can have shapes designed to promote lock and key interactions. (II) Can also have anchoring conditions designed to form disclination lines attached to the active colloid.Technology:For lock and key microrobotics, the authors designed a multi-armed magnetic microrobot with companion defect to manipulate passive nematic colloid. This microrobot has a companion dipolar defect on one of its arms aligned with the far-field director field and can interact with passive colloids in nematic liquid crystals. The authors deliberately use disclination lines as a tool for robotic assembly and motion and attach them to mobile colloids in nematic liquid crystals. When the colloids move under an external field, the disclinations elongate with complex dynamics, thus driving motion in active colloids and subsequent interactions with passive colloids.Advantages:Multi-armed microrobot can micromanipulate passive colloidsMicrorobot can interact with colloids in Saturn ring or dipolar defect configurationCan assemble in multiple configurations (i.e. passive colloids with dipolar defects assemble in 3 different configurations)Microscopic images of multi‐armed microrobot. Bright field (left) and cross polarizing (right). Scale bar is 20𝜇𝑚.Stage of Development:ConceptProof of ConceptIntellectual Property:Utility Patent FiledUS20220389316A1Reference Media:Yao, T. et al.,Advanced Functional Materials, 2022 August 10; Vol. 32(44): 2205546Luo, Y. et al.,Nat Commun., 2018 Sep 21; 9(1): 3841Pappas, Melissa,Penn Engineering Today; 2022 November 15 SEAS Blog:""Tiny Swimming Robots.....""Desired Partnerships:LicenseCo-developmentCase ID:21-9742-TpNCSWeb Published:11/12/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55597"
University of Pennsylvania,High-Speed Computational Architecture For Reduced Latency In Big Data Processing,,,https://upenn.technologypublisher.com/technology/54113,"Novel computational architecture designs to reduce the latency time to process large volumes of data utilizing the reconfiguration of memory and storage; streamlining read/write functions to include computational logic within the register file; and programmable schedule and memory utilization within a configurable load/store unit.Problem:The execution of big data applications used by search engines, natural language processing or classification algorithms is energy intensive and requires high throughput sorting and processing of data. Part of the inefficiency arises from:fixed data access processing between the local storage and memory and cloud storage.a conventional register file retrieves (“reads”) data for a processing operation by another component, then stores (“writes”) the processed data back into the register file.current load/store units allow no control over or optimized organization of scheduling or which memory registers are utilized or not utilized. Memory organization can become a limitation when processing large volumes of data.Solution:Reconfigurable architecture of memory and storage in a computer to offload functions away from the central and intelligence processing units. This allows direct access to both local and remote memory, with high bandwidth and low latency.A computational register file that reduces the latency time by combining the “write” and operation steps described above. Therefore, the computational register file can operate on the content during read/write, instead of performing them separately.A configurable load-store unit to reduce latency of data access by applying different scheduling and utilization policies for different load/store instructions. The programmer has direct control over the memory scheduling and utilization.Technology:To reconfigure memory and storage, logically disaggregated interconnections (Peripheral Component Interconnect Express (PCIe) switches) allow the field-programmable gate array to access both local and remote memory. The memory network serves local and remote requests using a point-to-point connection instead of the switch-based network to reduce latency.To perform operations within a computational register file, the operand name is expanded from RX to RX.Y, where X is the name of the register and Y is the port ID of the register. The name of register X selects which register in the register file to be used and port ID Y selects which computational logic to be used. Using this architecture, an operation only requires one load instruction to be performed.Each new load/store unit has its ID and respective attributes stored in a configuration table. The programmer uses the table to improve the scheduling and utilization to define the size of a single memory request, the coalescing threshold, the coalescing window, and its scheduling priority.Advantages:Reconfiguration of Memory and Storage:Fifteen microsecond latency for data access, one hundred times lower than CPU-based systems160 GB/s bandwidth, eight times higher than conventional CPU serversEnables adaptation to accommodate different index algorithm schemes and different index sizesComputational Register File:Given a photo document dataset, processes indexes with four times fewer nodes at sixty-eight times lower latency compared to CPU only; andHandles multiple types of data, including text, images, and videos.Reconfigurable and Programmable Load/Store Unit:Improved latency of big data applications by four timesBetter tradeoff between memory access latency and bandwidth by allowing control of memory schedulingFig. 1: The system architecture connects the Intelligence Processing Unit (IPU) to a storage and memory pool through a set of interconnections. Fig. 2: Comparison of the function of a conventional register file (RF) write process and the computational register file (CRF) in situ logic operation. In this example, a new data element arrives (“3”), is written into the computational register file, is compared to each other element, and then written to the vector. Fig. 3: The load/store unit includes an operand indicating the ID of attributes for the load/store request. The programmer sends a request to the load/store unit along with this attribute ID. The unit looks up the corresponding attribute stores in a configuration table according to the ID.Stage of Development:Proof of ConceptBench PrototypeIntellectual Property:US Patent Application FiledUS 2023/0116967 A1Reference Media:N/ADesired Partnerships:LicenseCo-developmentCase ID:21-9739-tpNCSWeb Published:5/3/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/54113"
University of Pennsylvania,New Paradigm of Using Hypoxia-Promoting Therapeutics for Enhancing Bone Fracture Repair,,,https://upenn.technologypublisher.com/technology/55495,"Modulate oxygen-releasing erythroid progenitor cells (EPCs) to promote low oxygen conditions (hypoxia) and enhance bone fracture repair.Problem:Bone fracture repair (or healing) is a complex regenerative process aimed at restoring damaged bone to its pre-injury state. About 5% to 10% of all fractures experience delayed or failed healing during this process. Previous studies have suggested that the initial phase of the repair process is characterized by a pronounced oxygen insufficiency (low oxygen condition, or hypoxia), attributed to the disruption of blood vessels. However, due to methodological limitations, the oxygenation activities in the fracture gap remain poorly understood.Solution:The inventors employed different methods to study tissue oxygenation in the fracture gap. They observed high oxygen concentrations that may impede repair in the local area days after the fracture. To address this, the inventors showed that targeting erythroid progenitor cells (EPCs) and local hemoglobin concentrations promotes hypoxic conditions, thereby enhancing fracture repair.Technology:The inventors designed a novel device to guide the recruitment, enrichment, and differentiation of EPCs, with the additional capability of modulating the function of these cells to influence the oxygen environment in the surrounding tissue. The device consists of a scaffold that incorporates or is coated with two bioactive compositions, providing a versatile platform for potential therapeutic applications in the field of regenerative medicine.Advantages:Modulation of EPCs significantly reduced tissue oxygen, promoted hypoxia, and enhanced fracture repair in the fracture gap (demonstrated by significantly increased osteoprogenitor activation, angiogenesis, and bone formation).A potential avenue for exploring new therapeutic approaches for fracture healing.Elucidated a previously understudied phenomenon of oxygen levels underlying fracture healing.Stage of Development:Proof of ConceptIntellectual Property:Provisional FiledReference Media:Lang, A et al.Nat Comm Biol, 2024 Mar 13;  7(1): 315.Lang, A et al.Bone 2022 Jan; 154: 116247.Lang, A et al.Acta Biomater 2019 Mar 1; 86: 171.McDermottAM et al.Sci Transl Med, 2019 Jun 5; 11(495): eaav7756.Herberg, S et al.Sci Adv 2019 Aug 28; 5(8): eaax2476.Desired Partnerships:LicenseCo-developmentCase ID:24-10587-TpNCSWeb Published:11/4/2024Patent Information:App TypeCountrySerial No.Patent No.File DateIssued DateExpire DateDirect Link:https://upenn.technologypublisher.com/technology/55495"
